source,search_query,county_query,search_town,search_town_norm,search_county,title,price_raw,rent_price,beds_raw,location_raw,listing_url,raw_card_text,date_scraped,scraped_at,source_search_url,combined_text,bedrooms,bathrooms,sqft,is_furnished_source,is_furnished_text_flag,is_furnished_final,title_clean,location_clean,location_norm,resolved_town_norm,resolved_town,resolved_county,location_resolution_source,actual_town_norm,actual_town,actual_county,actual_town_source,listing_town_norm,listing_town,listing_county,listing_town_source,modeling_town_norm,modeling_town,modeling_county,search_location_mismatch_flag,non_residential_flag,out_of_state_location_flag,outside_target_area_review_flag,rent_missing_flag,rent_nonpositive_flag,rent_iqr_lower_overall,rent_iqr_upper_overall,rent_iqr_outlier_overall_flag,rent_iqr_outlier_by_source_flag,rent_iqr_lower_by_source,rent_iqr_upper_by_source,quality_exclusion_flag,geography_exclusion_flag,baseline_exclusion_flag,rental_town_norm,assessor_town_norm,assessor_records,town_median_total_value,town_mean_total_value,town_median_building_value,town_median_land_value,town_median_building_size,town_median_lot_size
craigslist,Auburn,Androscoggin,Auburn,AUBURN,Androscoggin,3BR/1BA Auburn Heat Included,"$1,800",1800.0,,Main ST,https://maine.craigslist.org/apa/d/auburn-3br-1ba-auburn-heat-included/7936792265.html,"3BR/1BA Auburn Heat Included $1,800 Main ST",2026-06-19,2026-06-19 21:27:22,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Auburn,"3BR/1BA Auburn Heat Included  Main ST 3BR/1BA Auburn Heat Included $1,800 Main ST",3.0,1.0,,0,0,0,3BR/1BA Auburn Heat Included,Main ST,MAIN ST,AUBURN,Auburn,Androscoggin,title,AUBURN,Auburn,Androscoggin,title,AUBURN,Auburn,Androscoggin,title,AUBURN,Auburn,Androscoggin,False,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,AUBURN,AUBURN,990,131050.0,166529.14845360824,82600.0,44800.0,0.0,1.48000001
craigslist,Auburn,Androscoggin,Auburn,AUBURN,Androscoggin,One bedroom all utilities included,"$1,250",1250.0,,,https://maine.craigslist.org/apa/d/auburn-one-bedroom-all-utilities/7941548203.html,"One bedroom all utilities included $1,250",2026-06-19,2026-06-19 21:27:22,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Auburn,"One bedroom all utilities included   One bedroom all utilities included $1,250",,,,0,0,0,One bedroom all utilities included,,,AUBURN,Auburn,Androscoggin,listing_url,AUBURN,Auburn,Androscoggin,listing_url,AUBURN,Auburn,Androscoggin,listing_url,AUBURN,Auburn,Androscoggin,False,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,AUBURN,AUBURN,990,131050.0,166529.14845360824,82600.0,44800.0,0.0,1.48000001
craigslist,Auburn,Androscoggin,Auburn,AUBURN,Androscoggin,Spacious 2 Bedroom with Den,"$1,850",1850.0,,"34 Gill Street, Auburn",https://maine.craigslist.org/apa/d/auburn-spacious-bedroom-with-den/7941324865.html,"Spacious 2 Bedroom with Den $1,850 34 Gill Street, Auburn",2026-06-19,2026-06-19 21:27:22,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Auburn,"Spacious 2 Bedroom with Den  34 Gill Street, Auburn Spacious 2 Bedroom with Den $1,850 34 Gill Street, Auburn",2.0,,,0,0,0,Spacious 2 Bedroom with Den,"34 Gill Street, Auburn",34 GILL ST AUBURN,AUBURN,Auburn,Androscoggin,location_raw,AUBURN,Auburn,Androscoggin,location_raw,AUBURN,Auburn,Androscoggin,location_raw,AUBURN,Auburn,Androscoggin,False,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,AUBURN,AUBURN,990,131050.0,166529.14845360824,82600.0,44800.0,0.0,1.48000001
craigslist,Auburn,Androscoggin,Auburn,AUBURN,Androscoggin,2 Beds 1 Bath Apartment,"$2,000",2000.0,,,https://maine.craigslist.org/apa/d/auburn-beds-bath-apartment/7940142409.html,"2 Beds 1 Bath Apartment $2,000",2026-06-19,2026-06-19 21:27:22,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Auburn,"2 Beds 1 Bath Apartment   2 Beds 1 Bath Apartment $2,000",2.0,1.0,,0,0,0,2 Beds 1 Bath Apartment,,,AUBURN,Auburn,Androscoggin,listing_url,AUBURN,Auburn,Androscoggin,listing_url,AUBURN,Auburn,Androscoggin,listing_url,AUBURN,Auburn,Androscoggin,False,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,AUBURN,AUBURN,990,131050.0,166529.14845360824,82600.0,44800.0,0.0,1.48000001
craigslist,Auburn,Androscoggin,Auburn,AUBURN,Androscoggin,Picker House Lofts- Lewiston,"$1,395",1395.0,,Lewiston,https://maine.craigslist.org/apa/d/auburn-picker-house-lofts-lewiston/7940120306.html,"Picker House Lofts- Lewiston $1,395 Lewiston",2026-06-19,2026-06-19 21:27:22,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Auburn,"Picker House Lofts- Lewiston  Lewiston Picker House Lofts- Lewiston $1,395 Lewiston",,,,0,0,0,Picker House Lofts- Lewiston,Lewiston,LEWISTON,LEWISTON,Lewiston,Androscoggin,location_raw,LEWISTON,Lewiston,Androscoggin,location_raw,LEWISTON,Lewiston,Androscoggin,location_raw,LEWISTON,Lewiston,Androscoggin,True,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,LEWISTON,LEWISTON,983,116500.0,254048.67069154774,52600.0,33800.0,0.0,0.46999999
craigslist,Auburn,Androscoggin,Auburn,AUBURN,Androscoggin,Large 2-Bedroom Condo in Quiet Neighborhood for Rent,"$1,850",1850.0,,Auburn,https://maine.craigslist.org/apa/d/auburn-large-bedroom-condo-in-quiet/7937457781.html,"Large 2-Bedroom Condo in Quiet Neighborhood for Rent $1,850 Auburn",2026-06-19,2026-06-19 21:27:22,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Auburn,"Large 2-Bedroom Condo in Quiet Neighborhood for Rent  Auburn Large 2-Bedroom Condo in Quiet Neighborhood for Rent $1,850 Auburn",2.0,,,0,0,0,Large 2-Bedroom Condo in Quiet Neighborhood for Rent,Auburn,AUBURN,AUBURN,Auburn,Androscoggin,location_raw,AUBURN,Auburn,Androscoggin,location_raw,AUBURN,Auburn,Androscoggin,location_raw,AUBURN,Auburn,Androscoggin,False,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,AUBURN,AUBURN,990,131050.0,166529.14845360824,82600.0,44800.0,0.0,1.48000001
craigslist,Auburn,Androscoggin,Auburn,AUBURN,Androscoggin,"2 bedroom apartment w/ heat/hw, off street parking & laundry","$1,775",1775.0,,Auburn,https://maine.craigslist.org/apa/d/auburn-bedroom-apartment-heat-hw-off/7935330386.html,"2 bedroom apartment w/ heat/hw, off street parking & laundry $1,775 Auburn",2026-06-19,2026-06-19 21:27:22,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Auburn,"2 bedroom apartment w/ heat/hw, off street parking & laundry  Auburn 2 bedroom apartment w/ heat/hw, off street parking & laundry $1,775 Auburn",2.0,,,0,0,0,"2 bedroom apartment w/ heat/hw, off street parking & laundry",Auburn,AUBURN,AUBURN,Auburn,Androscoggin,location_raw,AUBURN,Auburn,Androscoggin,location_raw,AUBURN,Auburn,Androscoggin,location_raw,AUBURN,Auburn,Androscoggin,False,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,AUBURN,AUBURN,990,131050.0,166529.14845360824,82600.0,44800.0,0.0,1.48000001
craigslist,Auburn,Androscoggin,Auburn,AUBURN,Androscoggin,"3 bedroom, 2 bath second floor unit","$1,800",1800.0,,Auburn,https://maine.craigslist.org/apa/d/auburn-bedroom-bath-second-floor-unit/7938507306.html,"3 bedroom, 2 bath second floor unit $1,800 Auburn",2026-06-19,2026-06-19 21:27:22,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Auburn,"3 bedroom, 2 bath second floor unit  Auburn 3 bedroom, 2 bath second floor unit $1,800 Auburn",3.0,2.0,,0,0,0,"3 bedroom, 2 bath second floor unit",Auburn,AUBURN,AUBURN,Auburn,Androscoggin,location_raw,AUBURN,Auburn,Androscoggin,location_raw,AUBURN,Auburn,Androscoggin,location_raw,AUBURN,Auburn,Androscoggin,False,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,AUBURN,AUBURN,990,131050.0,166529.14845360824,82600.0,44800.0,0.0,1.48000001
craigslist,Auburn,Androscoggin,Auburn,AUBURN,Androscoggin,Charming Studio in Gardiner (Furnished),"$1,400",1400.0,,Gardiner,https://maine.craigslist.org/apa/d/randolph-charming-studio-in-gardiner/7941233713.html,"Charming Studio in Gardiner (Furnished) $1,400 Gardiner",2026-06-19,2026-06-19 21:27:22,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Auburn,"Charming Studio in Gardiner (Furnished)  Gardiner Charming Studio in Gardiner (Furnished) $1,400 Gardiner",0.0,,,0,1,1,Charming Studio in Gardiner (Furnished),Gardiner,GARDINER,GARDINER,Gardiner,Kennebec,location_raw,GARDINER,Gardiner,Kennebec,location_raw,GARDINER,Gardiner,Kennebec,location_raw,GARDINER,Gardiner,Kennebec,True,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,GARDINER,GARDINER,1000,106250.0,111947.50602409638,78450.0,25300.0,1326.0,0.56000918
craigslist,Auburn,Androscoggin,Auburn,AUBURN,Androscoggin,***Lisbon Falls Terrace - Handicap Unit - Vouchers Accepted***,$861,861.0,,Lisbon Falls,https://maine.craigslist.org/apa/d/lisbon-falls-lisbon-falls-terrace/7938477554.html,***Lisbon Falls Terrace - Handicap Unit - Vouchers Accepted*** $861 Lisbon Falls,2026-06-19,2026-06-19 21:27:22,https://maine.craigslist.org/search/apa?availabilityMode=0&hasPic=1&query=Auburn,***Lisbon Falls Terrace - Handicap Unit - Vouchers Accepted***  Lisbon Falls ***Lisbon Falls Terrace - Handicap Unit - Vouchers Accepted*** $861 Lisbon Falls,,,,0,0,0,***Lisbon Falls Terrace - Handicap Unit - Vouchers Accepted***,Lisbon Falls,LISBON FALLS,LISBON,Lisbon,Androscoggin,location_raw,LISBON,Lisbon,Androscoggin,location_raw,LISBON,Lisbon,Androscoggin,location_raw,LISBON,Lisbon,Androscoggin,True,False,False,False,False,False,500.0,3700.0,False,False,575.0,3575.0,False,False,False,LISBON,LISBON,1000,102700.0,139922.04904904906,73400.0,29500.0,0.0,0.52999997
